13 | 1 | 0
82 | 0 | 1


0 | 0 | 0
9 | 0 | 0
10 | 0 | 0
11 | 0 | 0
14 | 0 | 0
16 | 0 | 0
19 | 0 | 0
20 | 0 | 0
21 | 0 | 0
23 | 0 | 0
25 | 0 | 0
26 | 0 | 0
28 | 0 | 0
29 | 0 | 0
32 | 0 | 0
33 | 0 | 0
34 | 0 | 0
35 | 0 | 0
36 | 0 | 0
37 | 0 | 0
38 | 0 | 0
44 | 0 | 0
45 | 0 | 0
49 | 0 | 0
52 | 0 | 0
55 | 0 | 0
56 | 0 | 0
57 | 0 | 0
58 | 0 | 0
63 | 0 | 0
64 | 0 | 0
67 | 0 | 0
69 | 0 | 0
71 | 0 | 0
72 | 0 | 0
75 | 0 | 0
78 | 0 | 0
79 | 0 | 0
80 | 0 | 0
84 | 0 | 0
86 | 0 | 0
88 | 0 | 0
92 | 0 | 0
93 | 0 | 0
94 | 0 | 0
96 | 0 | 0
97 | 0 | 0
98 | 0 | 0
99 | 0 | 0

1 | 1 | 1
2 | 1 | 1
3 | 1 | 1
4 | 1 | 1
5 | 1 | 1
6 | 1 | 1
7 | 1 | 1
8 | 1 | 1
12 | 1 | 1
15 | 1 | 1
17 | 1 | 1
18 | 1 | 1
22 | 1 | 1
24 | 1 | 1
27 | 1 | 1
30 | 1 | 1
31 | 1 | 1
39 | 1 | 1
40 | 1 | 1
41 | 1 | 1
42 | 1 | 1
43 | 1 | 1
46 | 1 | 1
47 | 1 | 1
48 | 1 | 1
50 | 1 | 1
51 | 1 | 1
53 | 1 | 1
54 | 1 | 1
59 | 1 | 1
60 | 1 | 1
61 | 1 | 1
62 | 1 | 1
65 | 1 | 1
66 | 1 | 1
68 | 1 | 1
70 | 1 | 1
73 | 1 | 1
74 | 1 | 1
76 | 1 | 1
77 | 1 | 1
81 | 1 | 1
83 | 1 | 1
85 | 1 | 1
87 | 1 | 1
89 | 1 | 1
90 | 1 | 1
91 | 1 | 1
95 | 1 | 1
